article_title,article_quality,revision_id,country,population,region
Shahjahan Noori,GA,1099689043,Afghanistan,41.1,SOUTH ASIA
Abdul Ghafar Lakanwal,Start,943562276,Afghanistan,41.1,SOUTH ASIA
Majah Ha Adrif,Start,852404094,Afghanistan,41.1,SOUTH ASIA
Haroon al-Afghani,B,1095102390,Afghanistan,41.1,SOUTH ASIA
Tayyab Agha,Start,1104998382,Afghanistan,41.1,SOUTH ASIA
Ahmadullah Wasiq,Start,1109361754,Afghanistan,41.1,SOUTH ASIA
Aziza Ahmadyar,Start,1087211008,Afghanistan,41.1,SOUTH ASIA
Muqadasa Ahmadzai,Start,1082489593,Afghanistan,41.1,SOUTH ASIA
Mohammad Sarwar Ahmedzai,Start,1038918070,Afghanistan,41.1,SOUTH ASIA
Amir Muhammad Akhundzada,Start,1069322182,Afghanistan,41.1,SOUTH ASIA
Nasrullah Baryalai Arsalai,Start,1095526840,Afghanistan,41.1,SOUTH ASIA
Mohammad Asim Asim,Stub,1013838830,Afghanistan,41.1,SOUTH ASIA
Atiqullah Atifmal,Start,1112407669,Afghanistan,41.1,SOUTH ASIA
Abdul Rahim Ayoubi,Start,1108886061,Afghanistan,41.1,SOUTH ASIA
Alhaj Mutalib Baig,Start,1111494041,Afghanistan,41.1,SOUTH ASIA
Ismael Balkhi,Start,1112534409,Afghanistan,41.1,SOUTH ASIA
Abdul Baqi Turkistani,Stub,889226470,Afghanistan,41.1,SOUTH ASIA
Mohammad Ghous Bashiri,Start,1102150221,Afghanistan,41.1,SOUTH ASIA
Abas Basir,C,1098419766,Afghanistan,41.1,SOUTH ASIA
Jan Baz,Stub,997027082,Afghanistan,41.1,SOUTH ASIA
Ahmad Behzad,Start,1103948295,Afghanistan,41.1,SOUTH ASIA
Bashir Ahmad Bezan,Start,1060707209,Afghanistan,41.1,SOUTH ASIA
Rafiullah Bidar,Stub,977208323,Afghanistan,41.1,SOUTH ASIA
Mohammad Siddiq Chakari,Stub,1105913099,Afghanistan,41.1,SOUTH ASIA
Cheragh Ali Cheragh,Start,1087211968,Afghanistan,41.1,SOUTH ASIA
Nasir Ahmad Durrani,Stub,988838315,Afghanistan,41.1,SOUTH ASIA
Elay Ershad,Stub,1102489654,Afghanistan,41.1,SOUTH ASIA
Muhammad Hashim Esmatullahi,Stub,949986748,Afghanistan,41.1,SOUTH ASIA
Ezatullah (Nangarhar),Stub,947885788,Afghanistan,41.1,SOUTH ASIA
Aimal Faizi,Stub,1033383351,Afghanistan,41.1,SOUTH ASIA
Mohammad Nasim Faqiri,Start,1098051193,Afghanistan,41.1,SOUTH ASIA
Mohammad Nazar Faqiri,Stub,1095525798,Afghanistan,41.1,SOUTH ASIA
Sharif Ghalib,B,1041460606,Afghanistan,41.1,SOUTH ASIA
Hashmat Ghani Ahmadzai,C,1112933356,Afghanistan,41.1,SOUTH ASIA
Abdul Ghani Ghani,Stub,1072441893,Afghanistan,41.1,SOUTH ASIA
Ashraf Ghani,B,1113195582,Afghanistan,41.1,SOUTH ASIA
Abdul Samad Ghaus,Stub,1072271854,Afghanistan,41.1,SOUTH ASIA
Ghulam Ghaus,Stub,1115758710,Afghanistan,41.1,SOUTH ASIA
Ghulam Muhammad Ghobar,Stub,1108886395,Afghanistan,41.1,SOUTH ASIA
Mohammad Gul (Helmand Council),Stub,1092523687,Afghanistan,41.1,SOUTH ASIA
Ghulam Haider Hamidi,Start,1095018556,Afghanistan,41.1,SOUTH ASIA
Rangina Hamidi,C,1104280812,Afghanistan,41.1,SOUTH ASIA
Abdul Malik Hamwar,Stub,1100874645,Afghanistan,41.1,SOUTH ASIA
Sayed Zafar Hashemi,Start,1112804808,Afghanistan,41.1,SOUTH ASIA
Qutbuddin Hilal,Start,1104423275,Afghanistan,41.1,SOUTH ASIA
Shahnaz Himmeti,Stub,909966254,Afghanistan,41.1,SOUTH ASIA
Anarkali Kaur Honaryar,Start,1069574154,Afghanistan,41.1,SOUTH ASIA
Mahboba Hoqomal,Stub,1092518990,Afghanistan,41.1,SOUTH ASIA
Musa Hotak,Start,1094201417,Afghanistan,41.1,SOUTH ASIA
